Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
Jacob Misiorowski,MIL,120,131.08482158398604,NA,118.55844155844156,NA,119.37437837837837,134.2414507772021,97.80285714285715,NA,NA,127.6873695348184,101.60901048570402,129.62096734368632,Jacob Misiorowski,31623,694819
Cristopher Sánchez,PHI,138.2,NA,115.98459126539754,NA,NA,108.62379999999997,NA,123.88901234567902,NA,NA,117.62643185597862,98.44613266116427,115.37274649761666,Cristopher Sanchez,20778,650911
Cam Schlittler,NYY,130.1,117.10812080536915,110.58371859296484,106.58859778597785,NA,111.61154761904763,107.2043870967742,NA,NA,NA,112.12618801339636,105.26007211900104,115.51321232130456,Cameron Schlittler,32095,693645
Dylan Cease,TOR,113.1,115.78600000000002,93.88346820809248,NA,NA,108.03052300613497,NA,107.48391111111111,89.93390374331551,NA,107.75430550639231,98.91615917744825,106.89762150138608,Dylan Cease,18525,656302
Paul Skenes,PIT,120.2,94.75615942028986,97.07941463414636,NA,84.50666666666669,120.1303043953044,122.03999999999999,84.13913333333333,NA,NA,98.1057024596517,108.46853843966865,105.94955571826435,Paul Skenes,33677,694973
Jesús Luzardo,PHI,122.1,98.12414872798436,111.23504132231405,NA,NA,121.88389687499999,NA,103.83727506426735,NA,NA,110.61905311214963,103.58355207231952,112.68782992408052,Jesus Luzardo,19959,666200
Chris Sale,ATL,111,111.81980689655168,127.6927397260274,NA,NA,129.06507890961262,NA,93.31117647058822,NA,NA,117.78118739834599,108.21421656740354,120.34806486827156,Chris Sale,10603,519242
Parker Messick,CLE,125.1,97.33358865248226,88.31783950617283,92.5320588235294,NA,94.64387755102042,99.32519607843139,99.53603563474385,NA,NA,96.0823709644429,105.27142288496164,104.41119198250185,Parker Messick,31986,800048
Ranger Suarez,BOS,95.1,84.0810909090909,95.92618384401116,91.25630573248408,NA,119.1482608695652,108.17775100401606,92.27462264150942,NA,NA,94.59098530796734,106.35915544084703,101.15014782743258,Ranger Suarez,17277,624133
Yoshinobu Yamamoto,LAD,125.2,105.7130101010101,103.87855932203391,93.9153125,102.88759295499021,101.14455284552845,100.84251046025103,NA,NA,NA,102.14290409000529,106.79036847804092,109.92408636105438,Yoshinobu Yamamoto,33825,808967
Davis Martin,CHW,111,93.71127753303968,85.23478527607361,86.95544303797467,NA,94.14655737704919,93.51591666666667,86.46364372469635,NA,NA,90.25398239003238,95.02085306356462,86.64393495333977,Davis Martin,21448,663436
Chase Burns,CIN,107.2,107.25407333994053,NA,NA,NA,125.10187311178248,89.44,89.52,NA,NA,112.9518497965024,100.49877711026194,114.09974744115983,Chase Burns,35333,695505
Reid Detmers,LAA,120,102.5083464566929,100.2903448275862,NA,NA,109.68813771517999,100.88452830188679,102.06102040816327,NA,NA,104.59066796025625,108.90021614580188,110.37322532967615,Reid Detmers,27468,672282
Shohei Ohtani,LAD,85.2,105.99777408637873,104.5695652173913,91.80222222222221,115.02105263157894,129.77352941176474,108.73037593984961,NA,NA,NA,114.14799353168766,97.94219394320875,111.60941503067599,Shohei Ohtani,19755,660271
Casey Mize,DET,86.2,98.60418502202644,92.4296453900709,NA,87.22658146964856,76.11080924855492,86.7509375,NA,NA,NA,88.78509370274047,107.71150525439562,98.9794911740299,Casey Mize,20492,663554
Zack Wheeler,PHI,103,112.12496402877699,108.69578059071729,82.87511904761904,88.83741666666668,103.24165137614679,117.56251968503936,NA,NA,NA,104.04349584157727,107.84794144598331,113.1117893108084,Zack Wheeler,10310,554430
Bryan Woo,SEA,115.1,111.64410501193316,106.73470031545742,NA,NA,111.39884297520662,112.12857142857142,82.9806896551724,NA,NA,108.81133355827325,108.00573520337898,113.51681433727558,Bryan Woo,30279,693433
