mlbam_id,full_name,height_str,height_in,pos_code
671096,Andrew Abbott,"6' 0""",72,1
690953,Mick Abel,"6' 5""",77,1
691769,Philip Abner,"6' 1""",73,1
682928,CJ Abrams,"6' 0""",72,6
650556,Bryan Abreu,"6' 1""",73,1
677800,Wilyer Abreu,"5' 10""",70,9
670183,Garrett Acton,"6' 2""",74,1
682668,Luisangel Acuña,"5' 7""",67,6
660670,Ronald Acuña Jr.,"6' 0""",72,9
592094,Jason Adam,"6' 3""",75,1
642715,Willy Adames,"6' 0""",72,6
687060,Blake Adams,"6' 2""",74,1
690279,Mason Adams,"6' 1""",73,1
701519,Travis Adams,"6' 1""",73,1
666176,Jo Adell,"6' 2""",74,9
688642,Zach Agnos,"6' 0""",72,1
695239,Robby Ahlstrom,"6' 3""",75,1
669211,Keegan Akin,"6' 0""",72,1
645277,Ozzie Albies,"5' 7""",67,4
682634,Kevin Alcántara,"6' 6""",78,10
645261,Sandy Alcantara,"6' 5""",77,1
691951,Sam Aldegheri,"6' 1""",73,1
680916,Franco Aleman,"6' 6""",78,1
677942,Blaze Alexander,"5' 11""",71,5
669920,Jason Alexander,"6' 2""",74,1
641302,Tyler Alexander,"6' 1""",73,1
672613,Eliezer Alfonzo,"5' 10""",70,2
663465,Kolby Allard,"6' 1""",73,1
671106,Logan Allen,"6' 0""",72,1
669397,Nick Allen,"5' 7""",67,6
624413,Pete Alonso,"6' 3""",75,3
514888,Jose Altuve,"5' 6""",66,4
665660,Elvis Alvarado,"6' 6""",78,1
621237,José Alvarado,"6' 2""",74,1
682626,Francisco Alvarez,"5' 10""",70,2
674841,Andrew Alvarez,"6' 3""",75,1
670541,Yordan Alvarez,"6' 4""",76,10
691182,Adael Amador,"5' 11""",71,4
665804,Miguel Amaya,"6' 1""",73,2
623454,Drew Anderson,"6' 3""",75,1
681982,Grant Anderson,"6' 0""",72,1
681252,Jack Anderson,"6' 3""",75,1
807739,Kade Anderson,"6' 2""",74,1
641312,Shaun Anderson,"6' 6""",78,1
681084,Tanner Andrews,"6' 3""",75,1
609280,Miguel Andujar,"6' 0""",72,10
701350,Roman Anthony,"6' 3""",75,7
803011,Sam Antonacci,"5' 11""",71,7
622088,Tejay Antone,"6' 4""",76,1
666018,Jonathan Aranda,"6' 0""",72,3
606115,Orlando Arcia,"5' 11""",71,6
571448,Nolan Arenado,"6' 2""",74,5
672356,Gabriel Arias,"6' 1""",73,5
542888,Shawn Armstrong,"6' 2""",74,1
668227,Randy Arozarena,"5' 10""",70,7
650333,Luis Arraez,"5' 10""",70,4
681293,Spencer Arrighetti,"6' 2""",74,1
695490,Edwin Arroyo,"5' 11""",71,4
703197,Michael Arroyo,"5' 10""",70,6
676879,Aaron Ashby,"6' 0""",72,1
677952,Braxton Ashcraft,"6' 5""",77,1
668933,Graham Ashcraft,"6' 2""",74,1
665871,Javier Assad,"6' 1""",73,1
679883,Luinder Avila,"6' 3""",75,1
640492,José Azócar,"5' 11""",71,9
669199,Lake Bachar,"6' 2""",74,1
696147,Sam Bachman,"6' 1""",73,1
679775,Kyle Backhus,"6' 4""",76,1
664056,Harrison Bader,"5' 11""",71,8
678225,Jihwan Bae,"5' 11""",71,8
595879,Javier Báez,"5' 11""",71,6
695491,Joshua Báez,"6' 3""",75,7
672275,Patrick Bailey,"6' 0""",72,2
641329,Bryan Baker,"6' 6""",78,1
663609,Luken Baker,"6' 4""",76,3
686948,Drake Baldwin,"6' 0""",72,2
694208,Moisés Ballesteros,"5' 8""",68,10
607455,Anthony Banda,"6' 2""",74,1
677943,Will Banfield,"6' 0""",72,2
621383,Tanner Banks,"6' 1""",73,1
682995,Hunter Barco,"6' 4""",76,1
680718,Addison Barger,"5' 11""",71,9
605130,Scott Barlow,"6' 3""",75,1
656212,Charlie Barnes,"6' 2""",74,1
686930,Mason Barnett,"6' 0""",72,1
678489,Jorge Barrosa,"5' 6""",66,8
663698,Joey Bart,"6' 2""",74,2
678545,Osleivis Basabe,"5' 11""",71,4
694212,Samuel Basallo,"6' 4""",76,2
605135,Chris Bassitt,"6' 5""",77,1
669620,Brady Basso,"6' 2""",74,1
703520,Brett Bateman,"5' 10""",70,8
683146,Brett Baty,"6' 3""",75,5
641343,Jake Bauers,"6' 0""",72,3
691945,Carter Baumler,"6' 2""",74,1
669358,Shane Baz,"6' 3""",75,1
660825,Eduard Bazardo,"6' 0""",72,1
683953,Travis Bazzana,"5' 11""",71,4
687637,Dylan Beavers,"6' 5""",77,7
694341,Brendan Beck,"6' 2""",74,1
687597,Jordan Beck,"6' 2""",74,7
663941,Tristan Beck,"6' 4""",76,1
670280,David Bednar,"6' 1""",73,1
656222,Jalen Beeks,"5' 11""",71,1
690925,Clayton Beeter,"6' 2""",74,1
605137,Josh Bell,"6' 3""",75,10
641355,Cody Bellinger,"6' 3""",75,7
678394,Brayan Bello,"6' 1""",73,1
678368,Valente Bellozo,"5' 10""",70,1
669622,Anthony Bender,"6' 4""",76,1
701807,Carson Benge,"6' 1""",73,9
643217,Andrew Benintendi,"5' 9""",69,10
687562,Jake Bennett,"6' 6""",78,1
666181,Will Benson,"6' 4""",76,9
682674,Victor Bericoto,"6' 1""",73,7
699024,Leo Bernal,"6' 0""",72,2
657514,Brennan Bernardino,"6' 4""",76,1
672642,Steward Berroa,"5' 9""",69,9
605141,Mookie Betts,"5' 9""",69,6
676440,Tanner Bibee,"6' 2""",74,1
666182,Bo Bichette,"5' 11""",71,5
674370,Osvaldo Bido,"6' 3""",75,1
684049,Brandan Bidois,"6' 2""",74,1
669456,Shane Bieber,"6' 3""",75,1
685801,Hunter Bigge,"6' 0""",72,1
656234,Jake Bird,"6' 3""",75,1
702352,Spencer Bivens,"6' 4""",76,1
621389,Ty Blach,"6' 1""",73,1
696131,Mason Black,"6' 3""",75,1
672012,Tyler Black,"6' 0""",72,10
621112,Paul Blackburn,"6' 1""",73,1
687134,Bradley Blalock,"6' 2""",74,1
669854,Ronel Blanco,"6' 3""",75,1
668709,JJ Bleday,"6' 2""",74,7
656240,Scott Blewett,"6' 6""",78,1
669208,Ryan Bliss,"5' 7""",67,4
805123,AJ Blubaugh,"6' 2""",74,1
593428,Xander Bogaerts,"6' 2""",74,6
664761,Alec Bohm,"6' 4""",76,5
703607,Henry Bolte,"6' 3""",75,8
675989,Cody Bolton,"6' 2""",74,1
592155,Cam Booser,"6' 3""",75,1
621366,Ryan Borucki,"6' 4""",76,1
641386,Ben Bowden,"6' 4""",76,1
687749,Jase Bowen,"6' 0""",72,9
680742,Jonathan Bowlan,"6' 6""",78,1
571510,Matthew Boyd,"6' 3""",75,1
671212,Joe Boyle,"6' 8""",80,1
674003,Cody Bradford,"6' 4""",76,1
680694,Kyle Bradish,"6' 3""",75,1
671737,Taj Bradley,"6' 2""",74,1
687394,Jack Brannigan,"6' 0""",72,6
666374,Matt Brash,"6' 1""",73,1
683352,Mitch Bratt,"6' 1""",73,1
623211,Huascar Brazobán,"6' 3""",75,1
605154,John Brebbia,"6' 1""",73,1
608324,Alex Bregman,"5' 10""",70,5
686823,Will Brennan,"5' 11""",71,7
681146,Jonah Bride,"5' 11""",71,5
689225,Beau Brieske,"6' 3""",75,1
666745,Jhony Brito,"6' 2""",74,1
682877,Juan Brito,"6' 0""",72,4
641401,Connor Brogdon,"6' 6""",78,1
605156,Aaron Brooks,"6' 4""",76,1
676962,Ben Brown,"6' 6""",78,1
686613,Hunter Brown,"6' 2""",74,1
664141,JT Brubaker,"6' 4""",76,1
677865,Justin Bruihl,"6' 2""",74,1
660644,Vidal Bruján,"5' 9""",69,6
694350,Zach Brzykcy,"6' 2""",74,1
663460,Kris Bubic,"6' 3""",75,1
621111,Walker Buehler,"6' 2""",74,1
607481,Aaron Bummer,"6' 3""",75,1
669394,Jake Burger,"6' 0""",72,3
686228,Juan Burgos,"6' 0""",72,1
670103,Raymond Burgos,"6' 5""",77,1
656271,Brock Burke,"6' 4""",76,1
680732,Sean Burke,"6' 6""",78,1
686628,Blake Burkhalter,"6' 0""",72,1
676475,Alec Burleson,"6' 0""",72,3
669203,Corbin Burnes,"6' 3""",75,1
695505,Chase Burns,"6' 3""",75,1
681347,Mike Burrows,"6' 1""",73,1
683737,Michael Busch,"5' 11""",71,3
671732,Lawrence Butler,"6' 3""",75,9
676130,José Buttó,"6' 0""",72,1
621439,Byron Buxton,"6' 1""",73,8
676609,José Caballero,"5' 9""",69,6
665795,Edward Cabrera,"6' 5""",77,1
703615,Jose Cabrera,"6' 3""",75,1
665828,Oswaldo Cabrera,"6' 0""",72,5
695506,Jac Caglianone,"6' 4""",76,9
683357,Owen Caissie,"6' 4""",76,9
669743,Alex Call,"5' 11""",71,7
814430,Brett Callahan,"6' 0""",72,7
682997,Tyler Callihan,"5' 11""",71,7
665856,Jair Camargo,"5' 10""",70,2
663662,Daz Cameron,"6' 0""",72,7
702070,Noah Cameron,"6' 3""",75,1
691406,Junior Caminero,"6' 1""",73,5
672569,Gustavo Campero,"5' 6""",66,O
669134,Luis Campusano,"5' 10""",70,2
600869,Jeimer Candelario,"6' 1""",73,5
656288,Griffin Canning,"6' 2""",74,1
686563,Jonathan Cannon,"6' 6""",78,1
666974,Yennier Cano,"6' 4""",76,1
676282,Joey Cantillo,"6' 4""",76,1
686527,Dominic Canzone,"6' 0""",72,10
605170,Victor Caratini,"6' 0""",72,2
